IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT PERSONGROUP, DESCRIPTION, ISCREWWORKGROUP, OOG_DEPARTMENT, OOG_USEINMOC, OOG_ISTOPSIDE FROM PERSONGROUP;
  MOB_OPBA, Person group for Mobile - OP-BASE, 0, 0, 0, -
  MOB_ODN2, Person group for Mobile - ODN2, 0, 0, 0, -
  MOB_N08, Person group for Mobile - N08, 0, 0, 0, -
  MOB_N09, Person group for Mobile - N09, 0, 0, 0, -
  MOB_N06, Person group for Mobile - N06, 0, 0, 0, -
  MOB_ODN3, Person group for Mobile - ODN3, 0, 0, 0, -
  MOB_POL, For site POL, 0, 0, 0, -
  MOB_PGA, For site PGA, 0, 0, 0, -
  MOB_PGB, For site PGB, 0, 0, 0, -
  MOB_PGC, For dite PGC, 0, 0, 0, -
  SST_ANALYS, Person Group of persons to preliminary applicability analysis in Alert & Bulletins SST, 0, 0, 0, -
  SST_SUSTEN, Group with sustentability persons, 0, 0, 0, -
FetchAll: 155 rows fetched.
> 
