IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT PERSONGROUP, DESCRIPTION, ISCREWWORKGROUP, OOG_DEPARTMENT, OOG_USEINMOC, OOG_ISTOPSIDE FROM PERSONGROUP;
  MOB_PGA, For site PGA, 0, 0, 0, -
  MOB_PGB, For site PGB, 0, 0, 0, -
  MOB_PGC, For dite PGC, 0, 0, 0, -
  NAUTICAL, Nautical, 0, 1, 0, -
  INTOFF, Internalização / Internalization, 0, 0, 1, -
  OOG_RMG, Risk Assessment Manager, 0, 0, 0, -
  FSPON, Fornecedor / Supplier OnShore, 0, 0, 1, -
  APREDIAL, Adm Predial - Base UNP Only, 0, 1, 0, -
  OOG_EP, Planning Engineering Coordinator (PR with AFE CAPEX), 0, 0, 0, -
  SST_ANALYS, Person Group of persons to preliminary applicability analysis in Alert & Bulletins SST, 0, 0, 0, -
  SST_SUSTEN, Group with sustentability persons, 0, 0, 0, -
FetchAll: 154 rows fetched.
> 
