ENVIRONMENT,NAME,PARENT,CHILD,WHERECLAUSE,CARDINALITY,DBJOINREQUIRED,REMARKS,MAXRELATIONSHIPID
BASE,ASCHANGESTATUS,OOG_ASSETCOUNTER,ASCHANGESTATUS,-,-,0,Relationship to the non-persistent AssetChangeStatus table. The resulting set will contain zero or more objects. Note : AssetChangeStatus is a non-persistent MBO with whose help the dialog box binds with the object.,97675
BASE,ASSETSPECCOL,ASSET,ASSETSPEC,assetnum=:assetnum and siteid=:siteid and assetattrid = 'COLOR',-,0,Relationship with table Asset and Assetspec to bring the colors from attributeid.,97676
BASE,ASSETSPECNUM,ASSET,ASSETSPEC,assetnum=:assetnum and siteid=:siteid and assetattrid = 'NUMSERIE',-,0,Relationship with table Asset and Assetspec to bring the numserie from attributeid.,97677
BASE,OOG_PMDAILY,ASSET,PM,assetnum = :assetnum and siteid=:siteid and exists (select 1 from pmmeter where pmnum = pm.pmnum and siteid = pm.siteid and metername = 'DAILY'),-,0,Relationship to bring only the PM with the DAILY meter to Asset Counter application,97678
BASE,PLUSGDRL,OOG_ASSETCOUNTER,PLUSGDRL,assetcounterid = :assetcounterid and siteid = :siteid,-,0,Relationship to the PLUSGDRL table,used to find workorders generated from asset counter.
BASE,AC_WORKORDER,PM,WORKORDER,pmnum = :pmnum and siteid = :siteid and historyflag = 0,-,0,Relationship to the PM's Work order records,used to find the asset counter generated work order record for a given PM.
BASE,OOG_PMDAILYMETER,PM,PMMETER,pmnum=:pmnum and siteid=:siteid and metername = 'DAILY',-,0,Relationship to the PMs Meter records to find the DAILY Meter,97681
BASE,OOG_SHIPTO_OPEX,PR,BILLTOSHIPTO,siteid=:siteid,,,,
BASE,and addresscode in (select addresscode from address where description='OPEX'),-,0,-,97496,,,
BASE,OOG_INVENTORY,PRLINE,INVENTORY,:siteid not like '%PLSV%' and itemnum = :itemnum and siteid = :siteid and itemsetid = :itemsetid and location = (select location from locations where type = 'STOREROOM' and siteid = :siteid and isdefault = 1),-,0,Relationship to the Inventory table,used to find the inventory record when the PRLINE siteid is not PLSV
BASE,INVOICETRANS,SERVRECTRANS,INVOICETRANS,siteid in (select siteid from invoiceline where ponum=:ponum and polinenum=:polinenum) and invoicelinenum in (select invoicelinenum from invoiceline where ponum=:ponum and polinenum=:polinenum) and invoicenum in (select invoicenum from invoiceline where ponum=:ponum),-,-,Relationship to the INVOICETRANS line table,used to find all INVOICETRANS line records for a given purchase order line. (polinenum in (select polinenum from prline where ponum=prline.ponum and siteid=prline.siteid and polinenum=prline.polinenum) and positeid=prline.siteid). The resulting set will contain zero or more objects.
BASE,POREV,MATRECTRANS,PO,ponum=:ponum and siteid=:positeid and revisionnum=:porevisionnum,-,-,Relationship to the PO table,used to find the purchase order for which the material is received or transferred.(po.ponum = matrectrans.ponum). The resulting set will contain zero or one object.
BASE,POREV,SERVRECTRANS,PO,ponum=:ponum and siteid=:positeid and revisionnum=:porevisionnum,-,-,Relationship to the PO table,used to find the purchase order for which the material is received or transferred.(po.ponum = matrectrans.ponum). The resulting set will contain zero or one object.
BASE,POREV,POLINE,PO,ponum=:ponum and siteid=:siteid and revisionnum=:revisionnum,-,-,Relationship to the PO table,used to find the purchase order records to which a purchase order line belongs to. (po.ponum = poline.ponum). The resulting set will contain zero or more objects.
BASE,MATRECNOINVOICE,INVENTORY,MATRECTRANS,itemnum=:itemnum and itemsetid=:itemsetid and issuetype in (select value from synonymdomain where domainid ='ISSUETYP' and maxvalue in ('TRANSFER','SHIPTRANSFER')) and fromstoreloc=:location and fromsiteid=:siteid and consignment=1 and consinvoicenum is null and quantity!=0,-,-,Relationship to the MatRecTrans table
BASE,MATRECINVOICE,INVENTORY,MATRECTRANS,itemnum=:itemnum and itemsetid=:itemsetid and issuetype in (select value from synonymdomain where domainid ='ISSUETYP' and maxvalue in ('TRANSFER','SHIPTRANSFER')) and fromstoreloc=:location and fromsiteid=:siteid and consignment=1 and consinvoicenum is not null,-,-,Relationship to the MatRecTrans table
BASE,MATUSENOINVOICE,INVENTORY,MATUSETRANS,itemnum = :itemnum and storeloc=:location and itemsetid = :itemsetid and siteid=:siteid and consignment=1 and consinvoicenum is null and quantity!=0,-,-,Relationship to the MatUseTrans table,used to find the issue and return for consignment items for a given inventory record. (matusetrans.itemnum = inventory.itemnum and matusetrans.tostoreloc = inventory.location and matusetrans.itemsetid = inventory.itemsetid). The resulting set will contain zero or more objects.
BASE,MATUSEINVOICE,INVENTORY,MATUSETRANS,itemnum = :itemnum and storeloc=:location and itemsetid = :itemsetid and siteid=:siteid and consignment=1 and consinvoicenum is not null,-,-,Relationship to the MatUseTrans table,used to find the issue and return for consignment items for a given inventory record. (matusetrans.itemnum = inventory.itemnum and matusetrans.tostoreloc = inventory.location and matusetrans.itemsetid = inventory.itemsetid). The resulting set will contain zero or more objects.
BASE,INVTRANSNOINVOICE,INVENTORY,INVTRANS,itemnum=:itemnum and storeloc=:location and itemsetid=:itemsetid and siteid=:siteid and transtype in (select value from synonymdomain where domainid ='ITTYPE' and maxvalue in ('CURBALADJ','RECBALADJ')) and  consignment=1 and consinvoicenum is null and quantity!=0,-,-,Relationship to the InvTrans table
BASE,INVTRANSINVOICE,INVENTORY,INVTRANS,itemnum=:itemnum and storeloc=:location and itemsetid=:itemsetid and siteid=:siteid and transtype in (select value from synonymdomain where domainid ='ITTYPE' and maxvalue in ('CURBALADJ','RECBALADJ'))  and consignment=1 and consinvoicenum is not null,-,-,Relationship to the InvTrans table
BASE,INVENTORY,INVTRANS,INVENTORY,itemnum=:itemnum and location=:storeloc and itemsetid=:itemsetid and siteid=:siteid,-,-,Relationship to the inventory table,used to find the inventory records. The resulting set will contain zero or one object.
BASE,ASSETSTORETURN,PO,RECEIPTINPUT,-,-,-,Relationship to get all of the assets for this PO that are elegible for Returning to Vendor.,96156
BASE,CONSVENDOR,INVENTORY,COMPANIES,company=:consvendor and orgid=:orgid,-,-,Relationship to the Companies table,used to find the consignment vendor for the given Inventory record. (Inventory.consvendor = Companies.company). The resulting set will contain zero or one object.
BASE,WOMATSTATUSSYNC,INVRESERVE,WOMATSTATUSSYNC,itemnum = :itemnum and location = :location and itemsetid = :itemsetid and siteid=:siteid,-,-,Relationship to the WOMATStatusSync table,fetches zero or one record.
BASE,WOMATSTATUSSYNC,INVENTORY,WOMATSTATUSSYNC,itemnum = :itemnum and location = :location and itemsetid = :itemsetid and siteid=:siteid,-,-,Relationship to the WOMATStatusSync table,fetches zero or one record.
BASE,TOPOMSFIELD,ASSET,ASTMSOVER,-,-,-,Relationship to get topology mouse items directly from table field.,96160
BASE,TOPOMSSPEC,ASSET,ASTSPECMSOVER,-,-,-,Relationship to get topology mouse items indirectly through the ASSETSPEC's attribute.,96161
BASE,REPORT,REPORTOUTPUT,REPORT,appname=:appname and reportname=:reportname,-,-,Returns only one REPORT entry,96162
BASE,REPORTOUTPUTCNT,REPORTOUTPUT,REPORTOUTPUTCNT,jobnum=:jobnum,-,-,Returns only one REPORTOUTPUTCNT entry,96163
BASE,REPORTOUTPUTAUTH,REPORTOUTPUT,REPORTOUTPUTAUTH,jobnum=:jobnum,-,-,Returns zero or more REPORTOUTPUTAUTH entries,96164
BASE,REPORTOUTPUT,REPORTOUTPUTAUTH,REPORTOUTPUT,jobnum=:jobnum,-,-,Returns zero or more REPORTOUTPUT entries,96165
BASE,ORGANIZATION,CI,ORGANIZATION,orgid = :assetlocorgid,UNDEFINED,0,Relationship from CI to Organization,94957
BASE,ASSET,ASSETLOCRELATION,ASSET,assetnum=:sourceassetnum or assetnum=:targetassetnum and siteid=:siteid,UNDEFINED,0,Relationship to the Asset table,used to find all assets for a given sourceasset or targetasset
BASE,RELATIONRULES,RELATIONRULES,RELATIONRULES,relationnum =:relationnum,UNDEFINED,0,Relationship to the relation rule table,used to find all relation rules for a given relation rule number
BASE,ITEMSTATUS,WPMATERIAL,ITEM,itemnum=:itemnum and itemsetid=:itemsetid and status in (select value from synonymdomain where domainid = 'ITEMSTATUS' and maxvalue in ('ACTIVE','PLANNING','PENDOBS') ),UNDEFINED,0
BASE,ITEMORGINFOSTATUS,CONTRACTLINE,ITEMORGINFO,itemnum=:itemnum and itemsetid=:itemsetid and orgid=:orgid and status in (select value from synonymdomain where domainid = 'ITEMSTATUS' and maxvalue in ('ACTIVE','PLANNING','PENDOBS') ),UNDEFINED,0
BASE,VIEWWORK_BYASSETANDFAMILY,VIEWWOPMS,WORKVIEW,exists (select 1 from multiassetlocci where (multiassetlocci.worksiteid=workview.siteid or multiassetlocci.worksiteid is null) and multiassetlocci.recordkey=workview.recordkey and multiassetlocci.recordclass=workview.class and exists ( (select 1 from assetancestor where multiassetlocci.assetnum=assetancestor.ancestor and multiassetlocci.siteid=assetancestor.siteid and assetancestor.assetnum=:assetnum and assetancestor.siteid=:siteid) union (select 1 from assetancestor where multiassetlocci.assetnum=assetancestor.assetnum and  multiassetlocci.siteid=assetancestor.siteid and assetancestor.ancestor=:assetnum and assetancestor.siteid=:siteid ))),UNDEFINED,0,Relationship to the workview table,used to find the work records involving the current assetnum
BASE,PDSPECITEMNUM,POLINE,PDSPEC,refobjectid=:polineid and refobjectname='POLINE',UNDEFINED,0,Relationship to the pdspec table,used to find the pdspec records for a given po. The resulting set will contain zero or more objects.
BASE,MAXPROPGLOB,MAXPROP,MAXPROPVALUE,propname = :propname and servername = 'COMMON',UNDEFINED,0,Relationship for global value,80050
BASE,MAXPROPINSVAL,MAXPROP,MAXPROPVALUE,propname = :propname and servername not in ('COMMON'),UNDEFINED,0,Relationship for instance value,80051
BASE,RELATIONRULES,CIRELATION,RELATIONRULES,relationnum=:relationnum,UNDEFINED,0,Relationship to the RelationRules table,used to find relationrules for a given CI relation
BASE,MULTIASSETLOCCI,WORKVIEW,MULTIASSETLOCCI,recordkey=:recordkey and recordclass=:class and (worksiteid=:siteid or worksiteid is null),UNDEFINED,0,multiassetlocci records for workview record,93437
BASE,JPTASKRELATION,JOBPLAN,JPTASKRELATION,jobplanid=:jobplanid,MULTIPLE,0,Relationship from the job plan task to its predecessor tasks.,93438
BASE,VCICOLLECT,COLLECTDETAILS,CI,cinum = :cinum,UNDEFINED,0,Relationship to the CI table,used to find a CI record for a given WORKORDER record. (CI.cinum = WORKORDER.cinum). The resulting set will contain zero or one object.
BASE,WOPREDREFWONUM,WORKORDER,WOTASKRELATION,predrefwonum=:wonum and siteid=:siteid,MULTIPLE,0,Relationship to the WOTaskRelation table,used to find all task relation rows that reference this work order.
BASE,DMPKGDEFCHANGESTAT,DMPACKAGEDEF,DMPKGDEFCHANGESTAT,-,UNDEFINED,0,Relationship to get the non-persistent DMPKGDEFCHANGESTAT table.,94716
BASE,WOACTIVITY,CI,WOACTIVITY,cinum=:cinum,UNDEFINED,0,Relationship to the WOACTIVITY table,used to find WOACTIVITYrecord for a given CI.
BASE,WOCHANGE,CI,WOCHANGE,cinum=:cinum,UNDEFINED,0,Relationship to the WOCHANGE table,used to find WOCHANGE record for a given CI.
BASE,WORELEASE,CI,WORELEASE,cinum=:cinum,UNDEFINED,0,Relationship to the WORELEASE table,used to find WORELEASE record for a given CI.
BASE,PROBLEM,CI,PROBLEM,cinum=:cinum,UNDEFINED,0,Relationship to the PROBLEM table,used to find PROBLEM record for a given CI.
BASE,SR,CI,SR,cinum=:cinum,UNDEFINED,0,Relationship to the SR table,used to find SR record for a given CI.
BASE,JOBPLAN,JOBITEM,JOBPLAN,jpnum=:jpnum and siteid=:siteid and orgid=:orgid,UNDEFINED,0,Relationship from jobitem to jobplan,91451
BASE,VIEWWOPMS,WOCHANGE,VIEWWOPMS,-,UNDEFINED,0,Relationship from the WOCHANGE to the non-persistent VIEWWOPMS table. (No where clause.) The resulting set will contain zero objects. This relationship is used when the View Work Details dialog is launched from a location or asset field,95084
BASE,VIEWWOPMS,WOCONTRACT,VIEWWOPMS,-,UNDEFINED,0,Relationship from the WOCONTRACT to the non-persistent VIEWWOPMS table. (No where clause.) The resulting set will contain zero objects. This relationship is used when the View Work Details dialog is launched from a location or asset field,95085
BASE,VIEWWOPMS,WOGENFORECAST,VIEWWOPMS,-,UNDEFINED,0,Relationship from the WOGENFORECAST to the non-persistent VIEWWOPMS table. (No where clause.) The resulting set will contain zero objects. This relationship is used when the View Work Details dialog is launched from a location or asset field,95086
BASE,VIEWWOPMS,WOHAZARD,VIEWWOPMS,-,UNDEFINED,0,Relationship from the WOHAZARD to the non-persistent VIEWWOPMS table. (No where clause.) The resulting set will contain zero objects. This relationship is used when the View Work Details dialog is launched from a location or asset field,95087
BASE,VIEWWOPMS,WOLOCKOUT,VIEWWOPMS,-,UNDEFINED,0,Relationship from the WOLOCKOUT to the non-persistent VIEWWOPMS table. (No where clause.) The resulting set will contain zero objects. This relationship is used when the View Work Details dialog is launched from a location or asset field,95088
BASE,VIEWWOPMS,WORELEASE,VIEWWOPMS,-,UNDEFINED,0,Relationship from the WORELEASE to the non-persistent VIEWWOPMS table. (No where clause.) The resulting set will contain zero objects. This relationship is used when the View Work Details dialog is launched from a location or asset field,95089
BASE,VIEWWOPMS,WOSAFETYLINK,VIEWWOPMS,-,UNDEFINED,0,Relationship from the WOSAFETYLINK to the non-persistent VIEWWOPMS table. (No where clause.) The resulting set will contain zero objects. This relationship is used when the View Work Details dialog is launched from a location or asset field,95090
BASE,SYNONYMDOMAIN,PORTLETDISPLAY,SYNONYMDOMAIN,domainid='EXPRESSION' and value = :expression,UNDEFINED,0,Relationship to the return the maxvalue of a given express for portlet display. The result set will contain one object.,95269
BASE,RELATEDPARENTCI,CI,CIRELATION,parentci is not null and (sourceci=:cinum or targetci=:cinum) and parentci <>:cinum,UNDEFINED,0,Relationship to the CIRelation table,used to find parent ci  for a given CI
BASE,PARENTCI,CIRELATION,CI,cinum=:parentci,UNDEFINED,0,Relationship to the CI table,used to find ci for a given parentci
BASE,CLASSSTRUCTURE,MAXLECONTEXT,CLASSSTRUCTURE,classstructureid=:resourceclass,UNDEFINED,0,Relates the LE context resource classification ID to the classstructure table,95272
BASE,RECONTASK_RECONCOMPRULE,RECONTASK,RECONCOMPRULE,rulename in (select rulename from recontask,recontaskcomp,reconcomprule where recontaskcomp.taskname=:taskname and recontaskcomp.comprulename = reconcomprule.rulename and reconcomprule.fullcicompare = 1),UNDEFINED,0
BASE,POLINESPECCLASS,PO,PDSPEC,pdownerid=:poid and refobjectname='POLINE',UNDEFINED,0,Relationship to the pdspec table,used to find the pdspec records for a given po (pdownerid=:poid and refobjectname='POLINE'). The resulting set will contain zero or more objects.
BASE,PRLINESPECCLASS,PR,PDSPEC,pdownerid=:prid and refobjectname='PRLINE',UNDEFINED,0,Relationship to the pdspec table,used to find the pdspec records for a given po (pdownerid=:prid and refobjectname='PRLINE'). The resulting set will contain zero or more objects.
BASE,RFQLINESPECCLASS,RFQ,PDSPEC,pdownerid=:rfqid and refobjectname='RFQLINE',UNDEFINED,0,Relationship to the pdspec table,used to find the pdspec records for a given rfq (pdownerid=:rfqid and refobjectname='RFQLINE'). The resulting set will contain zero or more objects.
BASE,INVOICELINESPECCLASS,INVOICE,PDSPEC,pdownerid=:invoiceid and refobjectname='INVOICELINE',UNDEFINED,0,Relationship to the pdspec table,used to find the pdspec records for a given invoice (pdownerid=:invoiceid and refobjectname='INVOICELINE'). The resulting set will contain zero or more objects.
BASE,DRILLDOWN,COLLECTDETAILS,DRILLDOWN,-,UNDEFINED,0,Relationship from the CollectDetails to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a CollectDetails - asset or location field.,95316
BASE,ASSETANCESTORCHILDREN,VIEWWOPMS,ASSETANCESTOR,siteid=:siteid and ancestor=:assetnum and ancestor!=assetnum,UNDEFINED,0,Relationship from VIEWWOPMS to the ASSETANCESTOR object,used to see if any children assets exist for the VIEWWOPMS asset.  The result set will contain zero or more objects.
BASE,ASSETANCESTORANCESTORS,VIEWWOPMS,ASSETANCESTOR,siteid=:siteid and assetnum=:assetnum and ancestor!=assetnum,UNDEFINED,0,Relationship from VIEWWOPMS to the ASSETANCESTOR object,used to see if the VIEWWOPMS asset has any ancestors.  The result set will contain zero or more objects.
BASE,CONTAINMENTANCESTOR,VIEWWOPMS,CIRELATION,(cirelation.sourceci=:cinum or cirelation.targetci=:cinum) and ancestorci is not null and exists (select 1 from relationrules where cirelation.relationnum=relationrules.relationnum and containment=1 and sourceclass = (select classstructureid from ci where cinum=cirelation.sourceci) and targetclass = (select classstructureid from ci where cinum=cirelation.targetci)  ),UNDEFINED,0,Relationship to the cirelation table,used to find the current configuration item's ancestor (  (cirelation.sourceci=:cinum or cirelation.targetci=:cinum) and exists (select 1 from relationrules where cirelation.relationnum=relationrules.relationnum and containment=1 and sourceclass = (select classstructureid from ci where cinum=cirelation.sourceci) and targetclass = (select classstructureid from ci where cinum=cirelation.targetci) )  ).  The resulting set will contain more than zero objects if the configuration item is in a containment relationship.
BASE,LMOIMRLN,LMO,LMOIMRLN,lmoname=:lmoname and lmonamespace=:lmonamespace,UNDEFINED,0,Relationship to the LMOIMRLN table,used to find all IMs that implement the LMO. The resulting set will contain zero or more rows.
BASE,RECONCILINK_CIID,RECONCILINK,CI,ciid=:ciid,UNDEFINED,0,Relationship to the CI object,used to find the CI record for the reconcilink based on the ciid.
BASE,PROMOTEACTCI,ACTCI,PROMOTEACTCI,-,UNDEFINED,0,Relationship from actci to promoteactci,95342
BASE,CICLASSID,PROMOTEACTCI,CLASSSTRUCTURE,classstructureid=:ciclassid,UNDEFINED,0,Relationship to the classstucture table,used to find the classstucture record for classstructure id
BASE,CONTRACTASSET,SFWVIEW,CONTRACTASSET,contractnum=:contractnum and revisionnum=:revisionnum and orgid=:orgid,UNDEFINED,0,Relationship to the contractasset table,used to find all contract assets for a given contract. (sfwview.contractnum=contractasset.contractnum)
BASE,COMM_CONTGRP,SFWVIEW,CONTCOMMODITY,contractnum = :contractnum and revisionnum=:revisionnum and orgid = :orgid and commodity in (select commodity from contcommodity where parent is null),UNDEFINED,0,Relationship to the contcommodity table. (contcommodity.contractnum = sfwview.contractnum and contcommodity.revisionnum=sfwview.revisionnum and contcommodity.orgid = sfwview.orgid and contcommodity.commodity in (select commodity from contcommodity where parent is null),95347
BASE,CONTSFWLIC,SFWLICENSE,CONTSFWLIC,sfwlicenseid=:sfwlicenseid,UNDEFINED,0,Relationship to the contsfwlic table.(contsfwlic.sfwlicenseid=sfwlicense.sfwlicenseid),95348
BASE,CONTSFWLIC,SFWVIEW,CONTSFWLIC,contractid = :contractid,UNDEFINED,0,Relationship to the contsfwlic table. (contsfwlic.contractid=sfwview.contractid),95349
BASE,CONTSFWLIC_SFWLICID,CONTSFWLIC,CONTSFWLIC,sfwlicenseid=:sfwlicenseid,UNDEFINED,0,Relationship to the contsfwlic table for existed sfwlicenseid.(contsfwlic.sfwlicenseid=contsfwlic.sfwlicenseid),95351
BASE,CONTRACTCOMMODITY,SFWVIEW,CONTCOMMODITY,contractnum=:contractnum and revisionnum=:revisionnum and orgid=:orgid,UNDEFINED,0,Relationship to the ContCommodity table,used to find all commodities for a given contract. (contcommodity.contractnum = sfwview.contractnum and contcommodity.revisionnum=sfwview.revisionnum). The resulting set will contain zero or more objects.
BASE,CONTRACTLINE,CONTRACTLINE,CONTSFWLIC,contractlineid = :contractlineid,UNDEFINED,0,Relationship to the contsfwlic table (contractline.contractlineid=contsfwlic.contractlineid),95353
BASE,INVBALANCESCC,SPLITUSELINE,INVBALANCES,itemnum = :itemnum and itemsetid = :itemsetid and location = :fromstoreloc and ( conditioncode is null or conditioncode =:fromconditioncode) and siteid=:siteid,-,-,Relationship to the InvBalances table,used to find the balances on hand for this material issue when bin num is specified but lot num is either specified or null. (invbalances.itemnum = invuseline.itemnum and invbalances.itemsetid = matusetrans.itemsetid  and invbalances.location = invuseline.fromstoreloc and invbalances.binnum=invuseline.frombin and invbalances.itemsetid = invuseline.itemsetid). The resulting set will contain zero or more objects.
BASE,OOG_READING,ASSETMETER,METERREADING,metername=:metername and assetnum=:assetnum and siteid=:siteid and readingtype in ('ACTUAL','DELTA') order by enterdate desc,-,0,Pega a ultima leitura valida
BASE,INVBALANCES_BINNOLOT,INVUSELINE,INVBALANCES,itemnum=:itemnum and location=:fromstoreloc and binnum=:frombin and lotnum is null and itemsetid=:itemsetid and siteid=:siteid,-,-,Relationship to the InvBalances table,used to find the balances on hand for this InvUseLine where the inventory usage document being issued is not a lot-tracking item and bin num is specified and lot num is null. The resulting set will contain zero or one object.
BASE,INVBALANCES_BINLOT,INVUSELINE,INVBALANCES,itemnum=:itemnum and location=:fromstoreloc and ( binnum is null or binnum=:frombin) and lotnum=:fromlot and itemsetid=:itemsetid and siteid=:siteid,-,-,Relationship to the InvBalances table,used to find the balances on hand for this material issue where the material being issued is a lot-tracking item and bin num and lot num are both specified. The resulting set will contain zero or one object.
BASE,INVUSELINE,INVUSELINESPLIT,INVUSELINE,invuselineid=:invuselineid,-,-,Relationship to the InvUseLine table,used to find the invuseline records for a given invuselinesplit. The resulting set will contain one object.
BASE,INVUSELINESPLIT,INVUSELINE,INVUSELINESPLIT,invuselineid=:invuselineid,SINGLE,-,Relationship to the InvUseLineSplit table,used to find the invuselinesplit records for a given invuseline. The resulting set will contain one object.
BASE,SPLITINVUSELINE,INVUSE,INVUSELINE,invusenum=:invusenum and siteid=:siteid and usetype not in (select value from synonymdomain where domainid = 'INVUSETYPE' and maxvalue in ('RETURN') ) and not exists (select 1 from invuselinesplit where invuselineid=invuseline.invuselineid) and (exists(select 1 from item where itemnum=invuseline.itemnum and rotating=:YES and invuseline.rotassetnum is null) or ( exists (select 1 from invbalances where itemnum=invuseline.itemnum and itemsetid=invuseline.itemsetid and location=invuseline.fromstoreloc and siteid =invuseline.siteid and (conditioncode is null or conditioncode=invuseline.fromconditioncode) and ( binnum is null or binnum=invuseline.frombin) and curbal < invuseline.quantity))),-,-,Relationship to the InvUseLineSplit table,used to find invuseline records that needs splitting.
BASE,SPLITUSELINE,INVUSE,SPLITUSELINE,invusenum=:invusenum and siteid=:siteid,-,-,Relationship to the SplitInvUseLine. The resulting set will contain zero or more objects.,95860
BASE,ITEM,SPLITUSELINE,ITEM,itemnum=:itemnum and itemsetid=:itemsetid,-,-,Relationship to the Item table,used to find the item records for a given splituseline record. The resulting set will contain one object.
BASE,INVUSELINESPLIT,SPLITUSELINE,INVUSELINESPLIT,invuselineid=:invuselineid,-,-,Relationship to the InvUseLineSplit table,used to find the invuselinesplit records for a given invuseline. The resulting set will contain one object.
BASE,INVENTORY,SPLITUSELINE,INVENTORY,itemnum=:itemnum and location=:fromstoreloc and itemsetid=:itemsetid and siteid=:siteid,-,-,Relationship to the Inventory table,used to find the inventory on hand for this InvUseLine. The resulting set will contain zero or one object.
BASE,INVBALANCES,SPLITUSELINE,INVBALANCES,itemnum=:itemnum and location=:fromstoreloc and itemsetid=:itemsetid and siteid=:siteid and stagingbin=:NO,-,-,Relationship to the InvBalances table,used to find the balances on hand for this InvUseLine where bin num is specified. The resulting set will contain zero or one object.
BASE,OOG_ALERT,OOG_ALERTTASK,OOG_ALERT,ALERTID = :ALERTID,-,0,-,100861
BASE,PERSON,OOG_ALERTTASK,PERSON,personid = :OOG_SSTRESPONSIBLE,-,0,-,100862
BASE,ROTASSET,SPLITUSELINE,ASSET,itemnum=:itemnum and location=:fromstoreloc and itemsetid=:itemsetid and siteid=:siteid and (conditioncode is null or conditioncode=:fromconditioncode),-,-,Relationship to the Asset table,used to find the asset for the splituseline. The resulting set will contain zero or one object.
BASE,INVUSELINE,SPLITUSELINE,INVUSELINE,invuselineid=:invuselineid,-,-,Relationship to the Invuseline table,used to find the invuseline record for the splituseline. The resulting set will contain zero or one object.
BASE,INVLOT,SPLITUSELINE,INVLOT,itemnum=:itemnum and location=:fromstoreloc and siteid=:siteid and itemsetid=:itemsetid,-,-,Relationship to the InvLot table,used to find the lot information for the invuseline.The resulting set will contain zero or one object.
BASE,INVENTORY,INVUSELINESPLIT,INVENTORY,itemnum=:itemnum and location=:fromstoreloc and siteid=:siteid and itemsetid=:itemsetid,-,-,Relationship to the Inventory table,used to find the inventory information for the item number and storeroom. The resulting set will contain zero or one object.
